Time,Country Code,Female Senior Mgmt Share,"Prevalence of overweight, male (% of male adults) ",Females with HIV+ Share,Female Agriculture Grads Share,"Female share of graduates in Arts and Humanities programmes, tertiary (%) ",Female Edu Grads Share,Female Health Grads Share,Female Services Grads Share,Female Graduation Ratio,Male Industry Employment,Male Employment Ratio,Advanced Edu Labor Force,Female Advanced Edu Labor Force,Female Basic Edu Labor Force,Intermediate Edu Labor Force,Female Intermediate Edu Labor Force,Female Labor Force,Male Labor Force,Total Labor Force,Paid Maternity Leave,Length of paid parental leave for father (calendar days) ,Paid Parental Leave,"Part time employment, male (% of total male employment) ",Total Part Time Employment,Female to Male Labor Force Ratio,"Self-employed, male (% of male employment) (modeled ILO estimate) ",Female Population,Male Population,Total Population,Rural Population,Urban population (% of total population) ,Agricultural Land,Cooling Degree Days,Food production index (2014-2016 = 100),Forest area (% of land area),GDP growth (annual %),Heating Degree Days,Individuals using the Internet (% of population),Land Surface Temperature,Net migration,Population density (people per sq. km of land area),Proportion of seats held by women in national parliaments (%),Ratio of female to male labor force participation rate (%) (modeled ILO estimate),Scientific and technical journal articles,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Value
2000,CHE,22.5,55.3,26.8,25.50251,59.44852,72.92487,68.73498,47.4359,19.2013893127441,34.939998626709,75.9899978637695,83.3300018310547,76.8099975585938,38.7900009155273,70.5599975585938,63.6399993896484,1767603.0,2231294.0,3998850.0,0.0,0.0,0.0,18.5,33.1699981689453,74.102881320868,19.5900001525879,3673543.0,3510707.0,7184250.0,26.617,73.383,39.6214958000202,54.75,97.35,30.2646493269912,3.95871971933516,8263.11,47.1,13.3753952,24066.0,181.769304726242,23.0,74.1028838859817,12621.43,2.66,23.0
2001,CHE,31.32120338756922,62.06979942693409,24.9676217765043,50.1518793581662,66.55973508309457,78.10610540974213,78.99855130659026,49.116316504298,52.08804823976533,34.5990315336211,62.89515751617344,80.65562204180611,78.89562763552952,29.74496847988883,67.94181090084393,61.95547873598115,3257139.3037249283,3803400.9914040114,7063968.836676218,128.97134670487105,24.39541547277937,24.22349570200573,23.95960466089768,33.00559886014222,80.92696854479047,17.03255586870079,7460761.200573066,7108414.76790831,14569175.962750716,25.988401146131807,74.01159885386821,44.99721226486867,365.05444126074497,96.04584527220631,28.833454483611508,2.543182961029758,6070.723151862464,74.30430902466189,14.244988753180515,30192.085959885386,146.85887631779337,26.902175851593274,80.92696850668823,16434.599627507163,8.201318051575932,20.48997134670487
2002,CHE,24.7999992370605,56.3,27.0,25.92179,56.27549,72.99768,68.83061,48.75169,18.8184509277344,33.0800018310547,74.5800018310547,83.870002746582,79.5800018310547,39.6699981689453,69.5599975585938,63.4799995422363,1854233.0,2249619.0,4103899.0,0.0,0.0,0.0,19.2399997711182,33.8899993896484,77.2910984528072,19.1800003051758,3723614.0,3561139.0,7284753.0,26.599,73.401,39.4590354739133,63.06,96.82,30.461211477152,-0.0732170840426534,8163.54,61.4,11.9396127,48658.0,184.321466524973,23.0,77.2910963368531,12478.85,2.92,22.0
2003,CHE,31.32120338756922,62.06979942693409,24.9676217765043,50.1518793581662,66.55973508309457,78.10610540974213,78.99855130659026,49.116316504298,52.08804823976533,34.5990315336211,62.89515751617344,80.65562204180611,78.89562763552952,29.74496847988883,67.94181090084393,61.95547873598115,3257139.3037249283,3803400.9914040114,7063968.836676218,128.97134670487105,24.39541547277937,24.22349570200573,23.95960466089768,33.00559886014222,80.92696854479047,17.03255586870079,7460761.200573066,7108414.76790831,14569175.962750716,25.988401146131807,74.01159885386821,44.99721226486867,365.05444126074497,96.04584527220631,28.833454483611508,2.543182961029758,6070.723151862464,74.30430902466189,14.244988753180515,30192.085959885386,146.85887631779337,26.902175851593274,80.92696850668823,16434.599627507163,8.201318051575932,20.48997134670487
2004,CHE,24.7999992370605,57.3,27.1,34.68158,59.01149,74.25047,71.89371,41.38347,21.3983592987061,31.3700008392334,72.9700012207031,83.5100021362305,79.9599990844727,40.310001373291,68.4899978637695,62.3600006103516,1881801.0,2274737.0,4156364.0,0.0,0.0,0.0,17.1399993896484,32.7099990844727,77.8071776192376,18.7800006866455,3772931.0,3616695.0,7389625.0,26.548,73.452,39.3016194331984,53.08,97.16,30.6577935222672,2.70170920967028,8638.97,67.8,10.9359106,38681.0,186.984438259109,25.0,77.807180378372,14175.81,4.32,22.0
2005,CHE,31.32120338756922,62.06979942693409,24.9676217765043,50.1518793581662,66.55973508309457,78.10610540974213,78.99855130659026,49.116316504298,52.08804823976533,34.5990315336211,62.89515751617344,80.65562204180611,78.89562763552952,29.74496847988883,67.94181090084393,61.95547873598115,3257139.3037249283,3803400.9914040114,7063968.836676218,128.97134670487105,24.39541547277937,24.22349570200573,23.95960466089768,33.00559886014222,80.92696854479047,17.03255586870079,7460761.200573066,7108414.76790831,14569175.962750716,25.988401146131807,74.01159885386821,44.99721226486867,365.05444126074497,96.04584527220631,28.833454483611508,2.543182961029758,6070.723151862464,74.30430902466189,14.244988753180515,30192.085959885386,146.85887631779337,26.902175851593274,80.92696850668823,16434.599627507163,8.201318051575932,20.48997134670487
2006,CHE,26.5,58.2,27.1,37.77778,60.0225,73.33254,74.06378,41.62656,28.2476596832275,32.1699981689453,72.8499984741211,83.5800018310547,80.8300018310547,40.1599998474121,68.379997253418,62.7000007629395,1934848.0,2304544.0,4239193.0,98.0,0.0,0.0,16.6000003814697,32.4799995422363,79.2466812893353,17.9300003051758,3816235.0,3667699.0,7483934.0,26.496,73.504,39.1426474681783,118.65,94.94,30.8551762532581,4.07362844994275,8230.71,75.7,11.0640674,36928.0,189.385176000202,25.0,79.2466843501326,16469.77,3.99,21.0
2007,CHE,25.7999992370605,58.7,27.1,44.09744,61.16029,70.2518,78.56609,41.60567,30.1105995178223,32.2900009155273,73.5599975585938,83.120002746582,80.5899963378906,39.9500007629395,68.3399963378906,62.4000015258789,1960815.0,2347042.0,4307258.0,98.0,0.0,0.0,19.2999992370605,34.7000007629395,79.1075904770653,17.9799995422363,3845997.0,3705120.0,7551117.0,26.47,73.53,39.0601275432736,51.04,97.81,30.9534871950602,3.9163758177818,8060.44,77.2,11.8151627,71939.0,191.090115396295,28.5,79.1075907590759,16882.92,3.64,58.0
2008,CHE,25.0,59.1,27.1,46.11684,60.71047,70.5975,77.57864,41.88889,32.6441192626953,32.6100006103516,73.3300018310547,83.120002746582,81.1900024414063,41.25,68.3899993896484,63.1599998474121,2032184.0,2378411.0,4410392.0,98.0,0.0,0.0,17.6000003814697,32.8800010681152,81.2216687174106,18.1399993896484,3888817.0,3758858.0,7647675.0,26.444,73.556,38.9867395485373,61.83,98.33,31.0510173094443,2.80798363168692,8302.29,79.2,10.3076739,94153.0,193.533631946553,28.5,81.2216714819625,17350.51,3.35,56.0
2008,CHE,25.0,59.1,27.1,46.11684,60.71047,70.5975,77.57864,41.88889,32.6441192626953,32.6100006103516,73.3300018310547,83.120002746582,81.1900024414063,41.25,68.3899993896484,63.1599998474121,2032184.0,2378411.0,4410392.0,98.0,0.0,0.0,17.6000003814697,32.8800010681152,81.2216687174106,18.1399993896484,3888817.0,3758858.0,7647675.0,26.444,73.556,38.9867395485373,61.83,98.33,31.0510173094443,2.80798363168692,8302.29,79.2,10.3076739,94153.0,193.533631946553,28.5,81.2216714819625,17350.51,3.35,21.0
